"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","Genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"36",297317,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=297317","Ostorhinchus","Lacepède, 1802","accepted",NA,180,"Genus",297317,"Ostorhinchus","Lacepède, 1802",267079,"Animalia","Chordata","Actinopteri","Kurtiformes","Apogonidae","Ostorhinchus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Ostorhinchus Lacepède, 1802. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=297317 on 2022-09-01","urn:lsid:marinespecies.org:taxname:297317",1,1,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",268572,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=268572","Brachaluteres","Bleeker, 1865","accepted",NA,180,"Genus",268572,"Brachaluteres","Bleeker, 1865",125610,"Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Brachaluteres","Froese, R. and D. Pauly. Editors. (2022). FishBase. Brachaluteres Bleeker, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=268572 on 2022-09-01","urn:lsid:marinespecies.org:taxname:268572",1,1,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",267797,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=267797","Ralpharia","Watson, 1980","accepted",NA,180,"Genus",267797,"Ralpharia","Watson, 1980",1603,"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Tubulariidae","Ralpharia","Schuchert, P. (2022). World Hydrozoa Database. Ralpharia Watson, 1980. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=267797 on 2022-09-01","urn:lsid:marinespecies.org:taxname:267797",1,NA,0,0,0,"exact","2013-11-12T14:03:45.773Z"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",271164,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=271164","Trygonoptera","Müller & Henle, 1841","accepted",NA,180,"Genus",271164,"Trygonoptera","Müller & Henle, 1841",148830,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Urolophidae","Trygonoptera","Froese, R. and D. Pauly. Editors. (2022). FishBase. Trygonoptera Müller & Henle, 1841. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271164 on 2022-09-01","urn:lsid:marinespecies.org:taxname:271164",1,1,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"44",270406,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=270406","Pictilabrus","Gill, 1891","accepted",NA,180,"Genus",270406,"Pictilabrus","Gill, 1891",125541,"Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Pictilabrus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Pictilabrus Gill, 1891. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=270406 on 2022-09-01","urn:lsid:marinespecies.org:taxname:270406",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"45",270845,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=270845","Scobinichthys","Whitley, 1931","accepted",NA,180,"Genus",270845,"Scobinichthys","Whitley, 1931",125610,"Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Scobinichthys","Froese, R. and D. Pauly. Editors. (2022). FishBase. Scobinichthys Whitley, 1931. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=270845 on 2022-09-01","urn:lsid:marinespecies.org:taxname:270845",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"46",834878,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=834878","Porophryne","Arnold, Harcourt & Pietsch, 2014","accepted",NA,180,"Genus",834878,"Porophryne","Arnold, Harcourt & Pietsch, 2014",714638,"Animalia","Chordata","Actinopteri","Lophiiformes","Antennariidae","Porophryne","Froese, R. and D. Pauly. Editors. (2022). FishBase. Porophryne Arnold, Harcourt & Pietsch, 2014. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=834878 on 2022-09-01","urn:lsid:marinespecies.org:taxname:834878",1,NA,NA,NA,NA,"exact","2015-03-02T13:35:34.090Z"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",269799,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=269799","Maroubra","Whitley, 1948","accepted",NA,180,"Genus",269799,"Maroubra","Whitley, 1948",154405,"Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Maroubra","Froese, R. and D. Pauly. Editors. (2022). FishBase. Maroubra Whitley, 1948. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=269799 on 2022-09-01","urn:lsid:marinespecies.org:taxname:269799",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"49",269485,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=269485","Idiotropiscis","Whitley, 1947","accepted",NA,180,"Genus",269485,"Idiotropiscis","Whitley, 1947",154405,"Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Idiotropiscis","Froese, R. and D. Pauly. Editors. (2022). FishBase. Idiotropiscis Whitley, 1947. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=269485 on 2022-09-01","urn:lsid:marinespecies.org:taxname:269485",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"50",242408,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=242408","Astrosierra","Baker, 1980","accepted",NA,180,"Genus",242408,"Astrosierra","Baker, 1980",242203,"Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Astrosierra","Stöhr, S.; O’Hara, T.; Thuy, B. (Eds) (2022). World Ophiuroidea Database. Astrosierra Baker, 1980. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=242408 on 2022-09-01","urn:lsid:marinespecies.org:taxname:242408",1,0,0,0,NA,"exact","2018-04-24T13:31:30.330Z"
"51",567581,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=567581","Miamira","Bergh, 1874","accepted",NA,180,"Genus",567581,"Miamira","Bergh, 1874",549835,"Animalia","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","Miamira","MolluscaBase eds. (2022). MolluscaBase. Miamira Bergh, 1874. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=567581 on 2022-09-01","urn:lsid:marinespecies.org:taxname:567581",1,0,0,0,0,"exact","2021-06-04T20:14:16.817Z"
